usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
35007,"BEAR,BLACK,MEAT (ALASKA NATIVE)",155,20.1,8.3,0,,,,7.2,,,,260,,,,,,,
35008,"BEAR,POLAR,MEAT,RAW (ALASKA NATIVE)",130,25.6,3.1,0,,,17,6.1,40,,2,1400,,0.63,,,,,
7956,"BEEF SAUSAGE,fresh,cooked",332,18.21,27.98,0.35,0,0,11,1.57,258,813,0,81,0.24,10.905,82,43,1 serving,,
7954,"BEEF SAUSAGE,raw",405,15.5,37.57,0.03,0,0,15,1.53,234,822,0.7,114,0.49,15.098,83,48,1 serving,,
13595,"BEEF,BRISKET,FLAT HALF, boneless, trimmed of visible fat,raw",132,21.47,5.11,0,0,0,13,2.06,362,83,0,6,1.844,2,67,1855,1 piece,,
13370,"BEEF,BRISKET,FLAT HALF, trimmed of visible fat,cooked,braised",205,33.26,6.99,0,0,0,16,2.82,267,54,0,0,2.647,0,100,270,"1 steak,  (yield from 418g raw meat)",85,3 oz
13372,"BEEF,BRISKET,POINT HALF, trimmed of visible fat,cooked,braised",244,28.05,13.8,0,0,0,6,2.79,273,77,0,0,5.18,0,91,232,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85,3 oz
13368,"BEEF,BRISKET, whole, trimmed of visible fat,cooked,braised",218,29.75,10.08,0,0,0,6,2.81,285,70,0,0,3.63,0,93,85,3 oz,264,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13023,"BEEF,BRISKET,WHole, lean, raw",155,20.72,7.37,0,0,0,5,1.92,330,79,0,0,2.59,0,62,28.35,1 oz,453.6,1 lb
13954,"BEEF, bottom SIRLOIN,tri-tip roast, trimmed of visible fat,raw",165,20.64,8.55,0,0,0,25,1.49,317,52,0,0,3.14,0,66,261,1 roast,,
13987,"BEEF, bottom SIRLOIN,TRI-TIP STEAK,trimmed of visible fat,cooked,broiled",250,30.68,13.16,0,0,0,12,3.74,449,73,0,0,4.87,0,107,85,"3 oz,  ( 1 serving )",453.6,1 lb
13810,"BEEF,CHUCK,ARM POT RST,cooked,braised",302,30.12,19.22,0,0,0,17,2.53,242,50,0,0,7.62,0,120,258,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85,3 oz
13809,"BEEF,CHUCK,ARM POT RST,raw",244,19.23,17.98,0,0,0,17,1.67,290,62,0,0,7.254,0,91,28.35,1 oz,453.6,1 lb
13816,"BEEF,CHUCK,BLADE RST,cooked,braised",341,26.78,25.12,0,0,0,13,3.13,233,65,0,0,10,0,104,247,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85,3 oz
13815,"BEEF,CHUCK,BLADE RST,fat,raw",248,17.16,19.41,0,0,0,10,2.04,271,68,0,0,7.82,0,71,28.35,1 oz,453.6,1 lb
13347,"BEEF,CURED,CORNED beef,BRISKET,cooked",251,18.17,18.98,0.47,0,0,8,1.86,145,973,0,0,6.34,0,98,320,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85,3 oz
13346,"BEEF,CURED,CORNED beef,BRISKET,RAW",198,14.68,14.9,0.14,0,,7,1.69,297,1217,27,0,4.73,0,54,28.35,1 oz,453.6,1 lb
13348,"BEEF,CURED,CORNED beef,canned",250,27.1,14.93,0,0,0,12,2.08,136,897,0,0,6.18,0,86,28.35,1 oz,21,"1 slice,  (3/4 oz)"
13350,"BEEF,CURED,DRIED",153,31.1,1.94,2.76,0,2.7,8,2.42,235,2790,0,0,0.95,0,79,28,10 slices,,
13353,"BEEF,CURED,LUNCHEON MEAT,JELLIED",111,19,3.3,0,0,,10,3.45,402,1322,0,0,1.41,0,34,28,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)",,
13355,"BEEF,CURED,PASTRAMI",147,21.8,5.82,0.36,0,0.1,10,2.22,210,1078,0.3,42,2.681,2,68,71,"1 package, 2.5 oz",28,"1 slice,  (1 oz)"
13357,"BEEF,CURED,SAUSAGE,cooked,SMOKED",312,14.11,26.91,2.42,0,,7,1.76,176,1131,0,0,11.44,0,67,43,1 sausage,28.35,1 oz
13358,"BEEF,CURED,SMOKED,chopped beef",133,20.19,4.42,1.86,0,,8,2.85,377,1258,0,0,1.81,0,46,28,"1 slice,  (1 oz)",,
13360,"BEEF,CURED,THIN-SLICED beef",176,28.11,3.84,5.71,0,0,11,2.7,429,1439,0,0,1.65,0,41,28.35,1 oz,21,5 slices
13948,"BEEF,FLANK,STEAK,trimmed of visible fat,cooked,broiled",192,27.66,8.23,0,0,0,20,1.74,339,56,0,0,3.395,0,79,383,"1 steak,  (yield from 475 g raw meat)",,
13970,"BEEF,FLANK,STEAK,trimmed of visible fat,raw",155,21.22,7.17,0,0,0,25,1.55,328,54,0,0,2.978,0,65,188,1 steak,,
13047,"BEEF,GRASS-FED,GROUND,RAW",192,19.42,12.73,0,0,0,12,1.99,289,68,0,0,5.335,0,62,85,1 serving,,
13000,"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",117,23.07,2.69,0,0,0,9,1.85,342,55,0,0,1.032,0,55,214,1 steak,,
