usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
18432,"BREAD,WHITE,commercially prepared ,toasted,LO NA NO SALT",293,9,4,54.4,,,119,3.33,131,376,0,0,,0.892,1,28.35,1 oz,23,1 slice
18073,"BREAD,WHITE,prepared FROM RECIPE,MADE with low fat (2%) MILK",285,7.9,5.7,49.6,2,,57,2.97,146,359,0.2,79,,1.178,3,28.35,1 oz,42,1 slice
18071,"BREAD,WHITE,prepared FROM RECIPE,MADE with NONFAT DRY MILK",274,7.7,2.6,53.6,2,,32,3.18,111,336,0,41,,0.391,0,28.35,1 oz,44,1 slice
18075,"BREAD,WHOLE-WHEAT,commercially prepared ",247,12.95,3.35,41.29,6.8,5.57,107,2.43,248,400,0,3,0,0.747,0,28.35,1 oz,28,1 slice
18077,"BREAD,WHOLE-WHEAT,prepared FROM RECIPE",278,8.4,5.4,51.4,6,3.84,33,3.1,314,346,0,3,0,0.796,0,28.35,1 oz,46,"1 slice, regular (4"" x 5"" x 3/4"")"
18078,"BREAD,WHOLE-WHEAT,prepared FROM RECIPE,toasted",305,9.2,5.9,56.4,6.7,4.22,36,3.4,345,381,0,4,0,0.874,0,28.35,1 oz,42,1 slice
21005,"BREAKFAST ITEMS,BISCUIT with EGG and SAUSAGE",312,11.13,20.77,21.05,0.2,0.95,51,1.9,149,672,0,203,0.95,6.449,161,162,1 item,,
20008,BUCKWHEAT,343,13.25,3.4,71.5,10,,18,2.2,460,1,0,0,,0.741,0,170,1 cup,,
20011,"BUCKWHEAT flour,WHOLE-GROAT",335,12.62,3.1,70.59,10,2.6,41,4.06,577,11,0,0,0.32,0.677,0,120,1 cup,,
20010,"BUCKWHEAT GROATS,RSTD, cooked",92,3.38,0.62,19.94,2.7,0.9,7,0.8,88,4,0,0,0.09,0.134,0,168,1 cup,,
20009,"BUCKWHEAT GROATS,RSTD,DRY",346,11.73,2.71,74.95,10.3,,17,2.47,320,11,0,0,,0.591,0,164,1 cup,,
20013,"BULGUR,COOKED",83,3.08,0.24,18.58,4.5,0.1,10,0.96,68,5,0,2,0.01,0.042,0,182,1 cup,8.4,1 tbsp
20012,"BULGUR,DRY",342,12.29,1.33,75.87,18.3,0.41,35,2.46,410,17,0,9,0.06,0.232,0,140,1 cup,,
16055,CAROB FLOUR,222,4.62,0.65,88.88,39.8,49.08,348,2.94,827,35,0.2,14,0,0.09,0,103,1 cup,6,1 tbsp
16157,CHICKPEA FLOUR (BESAN),387,22.39,6.69,57.82,10.8,10.85,45,4.86,846,64,0,41,0,0.693,0,92,1 cup,,
16057,"CHICKPEAS ,MATURE SEEDS, cooked, boiled, without SALT",164,8.86,2.59,27.42,7.6,4.8,49,2.89,291,7,1.3,27,0,0.269,0,164,1 cup,,
16056,"CHICKPEAS (GARBANZO beans,BENGAL G M),MATURE SEEDS,RAW",364,19.3,6.04,60.65,17.4,10.7,105,6.24,875,24,4,67,0,0.626,0,200,1 cup,12.5,1 tbsp
16359,"CHICKPEAS (GARBANZO beans,BENGAL GRAM),mature seeds, canned, DRND,RNSD",138,7.04,2.47,22.87,,,43,0.98,109,212,0.1,22,0,0.213,0,254,"1 can, drained, rinsed",152,"1 cup, drained, rinsed"
16358,"CHICKPEAS (GARBANZO beans,BENGAL GRAM),mature SEEDS, canned, drained solids",139,7.05,2.77,22.53,,,45,1.07,126,246,0.1,23,0,0.214,0,253,"1 can, drained",,
16058,"CHICKPEAS (GARBANZO beans,BENGAL GRAM),MATURE seeds, canned, solids and liquids",88,4.92,1.95,13.49,4.4,,35,1.23,144,278,0.1,15,0,0.204,0,240,1 cup,448,"1 can, (total can contents)"
16357,"CHICKPEAS,MATURE SEEDS, cooked, boiled, with SALT",164,8.86,2.59,27.42,7.6,4.8,49,2.89,291,243,1.3,27,0,0.269,0,164,1 cup,,
16059,"CHILI WITH BEANS,CANNED",112,5.71,5.49,11.91,4.4,1.19,47,3.43,365,522,1.7,337,0,2.352,17,256,1 cup,16,1 tbsp
20015,"CORN BRAN,CRUDE",224,8.36,0.92,85.64,79,0,42,2.79,44,7,0,71,0.42,0.13,0,76,1 cup,,
20018,"CORN flour,DEGERMED,unenriched,yellow",375,5.59,1.39,82.75,1.9,0.64,2,0.91,90,1,0,214,0.15,0.171,0,126,1 cup,,
20017,"CORN flour,MASA, enriched, WHITE",365,9.28,3.86,76.29,6.4,1.61,136,7.49,263,5,0,5,0.12,0.532,0,114,1 cup,,
20317,"CORN flour,MASA, enriched, yellow",365,9.28,3.86,76.29,6.4,,136,7.49,263,5,0,214,,0.532,0,114,1 cup,,
20019,"CORN flour,MASA,unenriched,WHITE",365,9.28,3.86,76.29,6.4,1.61,136,1.47,263,5,0,5,0.12,0.532,0,114,1 cup,,
20315,"CORN flour,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",364,8.75,5.09,73.89,8.4,,5,1.74,381,5,,,,,,6.9,1 tbsp,,
20316,"CORN flour,WHOLE-GRAIN,WHITE",361,6.93,3.86,76.85,7.3,0.64,7,2.38,315,5,0,3,0.42,0.543,0,117,1 cup,,
20016,"CORN flour,WHOLE-GRAIN,yellow",361,6.93,3.86,76.85,7.3,0.64,7,2.38,315,5,0,214,0.42,0.543,0,117,1 cup,,
35134,"CORN,DRIED (NAVAJO)",386,9.88,5.22,74.93,,5.38,15,1.92,511,13,0,,0,0.82,,,,,
35183,"CORN,DRIED,yellow (NORTHERN PLAINS INDIANS)",419,14.48,10.64,66.27,20.5,21.32,25,2.61,775,4,0,261,0.44,1.974,,28.35,1 oz,,
