usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
9202,"ORANGES,RAW,NAVELS",49,0.91,0.15,12.54,2.2,8.5,43,0.13,166,1,59.1,247,0.15,0.017,0,165,"1 cup, sections without membranes",140,"1 fruit,  (2-7/8"" dia)"
9226,"PAPAYAS,RAW",43,0.47,0.26,10.82,1.7,7.82,20,0.25,182,8,60.9,950,0.3,0.081,0,145,"1 cup, 1"" pieces",230,"1 cup, mashed"
9242,"PEACHES,canned,packed in extra heavy syrup,solids and liquids",96,0.47,0.03,26.06,1,,3,0.29,83,8,1.2,131,,0.003,0,262,"1 cup, halves or slices",,
9239,"PEACHES,canned, packed in extra light syrup,solids and liquids",42,0.4,0.1,11.1,1,,5,0.3,74,5,3,270,,0.011,0,247,"1 cup, halves or slices",,
9237,"PEACHES,canned,packed in water,solids and liquids",24,0.44,0.06,6.11,1.3,4.81,2,0.32,99,3,2.9,532,0.49,0.006,0,244,"1 cup, halves or slices",98,"1 half, with liquid"
9241,"PEACHES,canned,packed in heavy syrup,solids and liquids",74,0.45,0.1,19.94,1.3,18.64,3,0.27,92,6,2.8,332,0.49,0.01,0,262,1 cup,98,"1 half, with liquid"
9370,"PEACHES,canned,heavy syrup,drained",72,0.52,0.18,18.43,1.2,14.66,3,0.27,94,6,0.7,626,1.19,0.013,0,222,1 cup,73,1 half
9238,"PEACHES,canned,packed in juice,solids and liquids",44,0.63,0.03,11.57,1.3,10.27,6,0.27,128,4,3.6,381,0.49,0.004,0,250,1 cup,248,"1 cup, halves or slices"
9240,"PEACHES,canned,packed in light syrup,solids and liquids",54,0.45,0.03,14.55,1.3,13.25,3,0.36,97,5,2.4,354,0.49,0.003,0,251,"1 cup, halves or slices",98,"1 half, with liquid"
9245,"PEACHES,dehydrated,SULFURED,stewed",133,2.01,0.42,34.14,,,16,2.26,554,4,6.8,396,,0.045,0,242,1 cup,,
9244,"PEACHES,dehydrated,SULFURED,uncooked",325,4.89,1.03,83.18,,,38,5.51,1351,10,10.6,1417,,0.111,0,116,1 cup,,
9248,"PEACHES,DRIED,SULFURED,stewed,with SUGAR",103,1.06,0.22,26.6,2.4,,8,1.2,292,2,3.4,180,,0.024,0,270,1 cup,,
9247,"PEACHES,DRIED,SULFURED,stewed,without SUGAR",77,1.16,0.25,19.69,2.7,16.99,9,1.31,320,2,3.7,197,0.06,0.026,0,258,1 cup,,
9246,"PEACHES,DRIED,SULFURED,uncooked",239,3.61,0.76,61.33,8.2,41.74,28,4.06,996,7,4.8,2163,0.19,0.082,0,160,"1 cup,  halves",13,1 half
9250,"PEACHES,frozen,SLICED,sweetened",94,0.63,0.13,23.98,1.8,22.18,3,0.37,130,6,94.2,284,0.62,0.014,0,250,"1 cup, thawed",155,10 slices
9236,"PEACHES,RAW",39,0.91,0.25,9.54,1.5,8.39,6,0.25,190,0,6.6,326,0.73,0.019,0,154,"1 cup, slices",130,"1 small,  (2-1/2"" dia)"
9243,"PEACHES,SPICED,canned,packed in heavy syrup,solids and liquids",75,0.41,0.1,20.08,1.3,18.78,6,0.28,85,4,5.3,317,0.49,0.011,0,242,"1 cup, whole",,
9408,"PEAR NECTAR,canned,with VIT C",60,0.11,0.01,15.76,0.6,,5,0.26,13,4,27,1,,0.001,0,250,1 cup,31.2,1 fl oz
9262,"PEAR NECTAR,canned,without VIT C",60,0.11,0.01,15.76,0.6,15.16,5,0.26,13,4,1.1,1,0.05,0.001,0,250,1 cup,31.2,1 fl oz
9340,"PEARS,ASIAN,RAW",42,0.5,0.23,10.65,3.6,7.05,4,0,121,0,3.8,0,0.12,0.012,0,122,"1 fruit,  2-1/4"" high x 2-1/2"" dia",275,"1 fruit,  3-3/8"" high x 3"" diameter"
9258,"PEARS,canned,packed in extra heavy syrup,solids and liquids",97,0.19,0.13,25.25,1.6,,5,0.22,64,5,1.1,0,,0.007,0,266,"1 cup,  halves",79,"1 half,  with liquid"
9255,"PEARS,canned,packed in extra light syrup,solids and liquids",47,0.3,0.1,12.2,1.6,,7,0.2,45,2,2,0,,0.006,0,247,"1 cup,  halves",76,"1 half, with liquid"
9253,"PEARS,canned,packed in water,solids and liquids",29,0.19,0.03,7.81,1.6,6.1,4,0.21,53,2,1,0,0.08,0.002,0,244,"1 cup,  halves",76,"1 half, with liquid"
9257,"PEARS,canned,packed in heavy syrup,solids and liquids",74,0.2,0.13,19.17,1.6,15.2,5,0.22,65,5,1.1,0,0.08,0.007,0,266,1 cup,76,"1 half, with liquid"
9374,"PEARS,canned,heavy syrup,drained",74,0.24,0.18,19.08,2.7,16.42,6,0.22,66,5,1.1,8,0.12,0.01,0,201,1 cup,48,1 half
9254,"PEARS,canned,packed in juice,solids and liquids",50,0.34,0.07,12.94,1.6,9.7,9,0.29,96,4,1.6,6,0.08,0.004,0,248,"1 cup,  halves",76,"1 half, with liquid"
9256,"PEARS,canned,packed in light syrup,solids and liquids",57,0.19,0.03,15.17,1.6,12.1,5,0.28,66,5,0.7,0,0.08,0.002,0,251,"1 cup,  halves",76,"1 half, with liquid"
9261,"PEARS,DRIED,SULFURED,stewed,with SUGAR",140,0.86,0.29,37.14,5.8,,15,0.97,245,3,3.8,40,,0.016,0,280,"1 cup,  halves",,
9260,"PEARS,DRIED,SULFURED,stewed,without SUGAR",127,0.91,0.31,33.81,6.4,27.41,16,1.02,258,3,4,42,0.03,0.017,0,255,"1 cup,  halves",,
9259,"PEARS,DRIED,SULFURED,uncooked",262,1.87,0.63,69.7,7.5,62.2,34,2.1,533,6,7,3,0.06,0.035,0,180,"1 cup,  halves",18,1 half
9252,"PEARS,RAW",57,0.36,0.14,15.23,3.1,9.75,9,0.18,116,1,4.3,25,0.12,0.022,0,148,1 small,178,1 medium
9412,"PEARS,RAW,BARTLETT",63,0.39,0.16,15.01,3.1,9.69,9,0.19,101,1,4.4,28,0.12,,,152,1 small,177,1 medium
