usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
8621,"Cereal,KELLOGG'S Frosted MINI-WHTS TOUCH FRT MDL MXD BER",342,8.9,1.9,82.1,10.6,17.7,35,29,364,17,0,2,0,0.5,0,55,"21 biscuits,  (1 NLEA serving)",,
8652,"Cereal,KELLOGG'S KRAVE CHOCOLATE crunch",397,7,11.1,76.1,9.9,35.7,,14.5,222,320,48,6452,,2.5,1,31,".75 cup,  (1 NLEA serving)",,
8618,"Cereal,KELLOGG'S POPS MIXIT crunch,ALL FLAVORS",363,5.4,2.78,86.68,8.6,38.78,18,15.42,93,443,52,4392,11.25,0.94,0,30,"1 cup,  (1 NLEA serving)",,
8653,"Cereal,KELLOGG'S RICE KRISPIES,GLUTEN FREE",383,7.8,2.3,82.9,2.7,3.7,,30,280,614,50,4167,11.25,0.5,0,30,"1 cup,  (1 NLEA serving)",,
8584,"Cereal,KELLOGG'S special K CHOCOLATEY DELIGHT",381,6.5,7.3,81.2,10.6,29.9,18,26.1,272,582,68,2419,0.53,6.3,0,31,".75 cup,  (1 NLEA serving)",,
8613,"Cereal,KELLOGG'S special K MULTIGRAIN OATS & HONEY",362,7.8,1.8,85,8.6,26.4,18,27.9,241,494,72,2586,0,0.4,0,29,".666 cup,  (1 NLEA serving)",,
8542,"Cereal,KELLOGG'S,Frosted MINI-WHEATS BITE SIZE STRAWB DEL",347,8.3,1.7,82.7,9.6,23.5,31,31.2,330,0,0,0,0,0.3,0,52,"24 biscuits,  (1 NLEA serving)",,
8458,"Cereal,KELLOGG'S,FRUIT HARVEST STRAWBERRY/BLUEBERRY",368,6,1.2,87,4.6,34,26,17,284,472,4,1963,0.36,0.3,0,29,".75 cup,  (1 NLEA serving)",,
8469,"Cereal,KELLOGG'S,reduced sugar Frosted FLAKES crunch",379,6,0.3,89,0.9,24.2,0,14.5,140,570,19,1613,0.25,0,0,31,"1 cup,  (1 NLEA serving)",,
8471,"Cereal,KELLOGG'S,special K PROT PLUS",349,33.7,9.7,47.8,17,6.7,135,28,1111,380,72,2586,16.2,2,0,29,".75 cup,  (1 NLEA serving)",,
