usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11137,"CAULIFLOWER,frozen,unprepared",24,2.01,0.27,4.68,2.3,2.22,22,0.54,193,24,48.8,12,0.07,0.041,0,284,"1 package,  (10 oz)",66,".5 cup,  (1"" pieces)"
11135,"CAULIFLOWER,RAW",25,1.92,0.28,4.97,2,1.91,22,0.42,299,30,48.2,0,0.08,0.064,0,107,"1 cup, chopped (1/2"" pieces)",13,1 floweret
11764,"CELERY,cooked, boiled, drained, with salt",18,0.83,0.16,4,1.6,2.37,42,0.42,284,327,6.1,521,0.35,0.04,0,150,"1 cup, diced",75,2 stalks
11144,"CELERY,cooked, boiled, drained, without salt",18,0.83,0.16,4,1.6,2.37,42,0.42,284,91,6.1,521,0.35,0.04,0,150,"1 cup, diced",75,2 stalks
11143,"CELERY,RAW",16,0.69,0.17,2.97,1.6,1.83,40,0.2,260,80,3.1,449,0.27,0.042,0,101,"1 cup, chopped",110,1 NLEA serving
11765,"CHARD,SWISS,cooked, boiled, drained, with salt",20,1.88,0.08,4.13,2.1,1.1,58,2.26,549,415,18,6124,1.89,,0,175,"1 cup, chopped",,
11148,"CHARD,SWISS,cooked, boiled, drained, without salt",20,1.88,0.08,4.13,2.1,1.1,58,2.26,549,179,18,6124,1.89,0.012,0,175,"1 cup, chopped",,
11147,"CHARD,SWISS,RAW",19,1.8,0.2,3.74,1.6,1.1,51,1.8,379,213,30,6116,1.89,0.03,0,36,1 cup,48,1 leaf
11790,"KALE,cooked, boiled, drained, with salt",28,1.9,0.4,5.63,2,1.25,72,0.9,228,259,41,13621,0.85,0.052,0,130,"1 cup, chopped",,
11234,"KALE,cooked, boiled, drained, without salt",28,1.9,0.4,5.63,2,1.25,72,0.9,228,23,41,13621,0.85,0.052,0,130,"1 cup, chopped",,
11235,"KALE,FROZEN,unprepared",28,2.66,0.46,4.9,2,,136,0.93,333,15,39.3,6253,,0.059,0,284,"1 package,  (10 oz)",94,".333 package,  (10 oz)"
11791,"KALE,frozen,cooked, boiled, drained, with salt",30,2.84,0.49,5.23,2,1.34,138,0.94,321,251,25.2,14704,0.92,0.063,0,130,"1 cup, chopped",,
11236,"KALE,frozen,cooked, boiled, drained, without salt",30,2.84,0.49,5.23,2,1.34,138,0.94,321,15,25.2,14704,0.92,0.063,0,130,"1 cup, chopped",65,".5 cup, chopped or diced"
11233,"KALE,RAW",49,4.28,0.93,8.75,,,150,1.47,491,38,120,9990,,0.091,0,67,"1 cup, chopped",,
11792,"KALE,SCOTCH,cooked, boiled, drained, with salt",28,1.9,0.41,5.62,,,132,1.93,274,281,52.8,1994,,0.053,0,130,"1 cup, chopped",,
11623,"KALE,SCOTCH,cooked, boiled, drained, without salt",28,1.9,0.41,5.63,1.2,,132,1.93,274,45,52.8,1994,,0.053,0,130,"1 cup, chopped",,
11622,"KALE,SCOTCH,RAW",42,2.8,0.6,8.32,1.7,,205,3,450,70,130,3100,,0.078,0,67,"1 cup, chopped",,
