usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
43269,"FROZEN NOVELTIES,ICE CRM TYPE,SUNDAE,PREPACKAGED",185,4.3,6,29.4,0.3,20.74,120,0.25,211,95,1.8,458,0.12,3.09,13,,,,
43346,"FROZEN NOVELTIES,JUC TYPE,ORANGE",95,0.5,0,23.17,0.1,19.99,9,0.47,100,8,25.7,21,0.04,0,0,29.8,1 fl oz,,
42186,"FROZEN YOGURTS,CHOC",127,3,3.6,21.6,2.3,19.24,100,0.46,234,63,0,141,0.09,2.272,13,174,1 cup,,
42187,"FROZEN YOGURTS,FLAVORS OTHER THAN CHOC",127,3,3.6,21.6,0,19.92,100,0.46,156,63,0.7,176,0.09,2.326,13,174,1 cup,,
1049,"CREAM,FLUID,HALF AND HALF",130,2.96,11.5,4.3,0,0.16,105,0.07,130,41,0.9,354,0.33,7.158,37,242,1 cup,15,1 tbsp
1053,"CREAM,FLUID,HVY WHIPPING",345,2.05,37,2.79,0,0.11,65,0.03,75,38,0.6,1470,1.06,23.032,137,120,"1 cup,  whipped",238,"1 cup, fluid (yields 2 cups whipped)"
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195,2.7,19.31,3.66,0,0.14,96,0.04,122,40,0.8,656,0.55,12.02,66,240,1 cup,15,1 tbsp
1052,"CREAM,FLUID,LT WHIPPING",292,2.17,30.91,2.96,0,0.11,69,0.03,97,34,0.6,1013,0.88,19.337,111,120,"1 cup,  whipped",239,"1 cup, fluid (yields 2 cups whipped)"
1199,"CREAM,HALF & HALF,FAT FREE",59,2.6,1.4,9,0,5,96,0,206,100,0.7,43,0.04,0.841,5,29,2 tbsp,484,1 pint
1056,"CREAM,SOUR,CULTURED",193,2.07,19.73,2.88,0,2.88,110,0.17,141,80,0.9,623,0.44,11.507,52,230,1 cup,12,1 tbsp
